PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,5.44,2.15,0.74,0.24,265,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.83249700855134,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,133,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.7933693194368,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,1,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.75540571435237,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,397,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.87284346949904,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,265,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.83249077430363,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,133,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.79395431223561,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,1,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.75539159184771,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,397,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.87284346949904,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,265,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.83250579124942,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,133,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.79336931943547,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.44,2.15,0.74,0.24,1,96.0,52.0,free,e/s,foc,e/u,"394.74, 767.75","1983.40, 299.33",68.0,11.75541046502379,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.408650677452975,4.189987323121214,0.6193887536293732,0.2627350979409865,541,38.11980666827907,79.84105481988422,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",39.37003079267561,11.222869330067475,0.0,0.0981446,0.9607+-0.0353,0.0000+-0.0000
0,5.41,4.19,0.62,0.26,540,38.0,79.0,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",39.0,11.22282963275682,0.0,0.0981446,0.9668+-0.0007,0.0000+-0.0000
0,5.41,4.19,0.62,0.26,360,38.0,79.0,distr,e/u,free,e/u,"925.36, 181.87","138.53, 411.75",39.0,11.16857777203365,0.0,0.0981446,0.6042+-0.2612,0.4552+-0.4552
0,5.41,4.19,0.62,0.26,180,38.0,79.0,distr,e/u,free,e/u,"355.76, 177.88","138.53, 411.75",39.0,11.11601072349546,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.41,4.19,0.62,0.26,540,38.0,79.0,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",39.0,11.22282963275682,0.0,0.0981446,0.9780+-0.0073,0.0000+-0.0000
0,5.41,4.19,0.62,0.26,360,22.0,79.0,distr,e/u,free,e/u,"1909.30, 165.27","138.53, 411.75",39.0,11.16857676266103,0.0,0.0981446,0.9569+-0.0031,0.2987+-0.2987
0,5.41,4.19,0.62,0.26,180,38.0,79.0,distr,e/u,free,e/u,"373.78, 183.02","138.53, 411.75",39.0,11.11602762501809,0.0,0.0981446,0.0000+-0.0000,0.0000+-0.0000
0,5.41,4.19,0.62,0.26,540,38.0,79.0,distr,e/u,free,e/u,"3115.69, 584.43","138.53, 411.75",39.0,11.22282963275682,0.0,0.0981446,0.9823+-0.0043,0.0000+-0.0000
0,5.41,4.19,0.62,0.26,360,38.0,79.0,distr,e/u,free,e/u,"548.54, 194.90","138.53, 411.75",39.0,11.16858303244776,0.0,0.0981446,0.9504+-0.0059,0.4448+-0.4448
0,5.41,4.19,0.62,0.26,180,38.0,79.0,distr,e/u,free,e/u,"358.94, 176.60","138.53, 411.75",39.0,11.11600829581678,0.0,0.0981446,0.1351+-0.1351,0.0000+-0.0000
0,5.175653568261081,3.3021505451794693,0.7741291051185732,0.20771382315739748,428,64.74944434185988,79.4601542574971,distr,e/u,free,y/h,"1867.55, 234.08","2356.35, 560.55",83.85787568420477,11.928172695581086,0.137973,0.237692,0.7893+-0.1344,0.0030+-0.0030
0,5.18,3.3,0.77,0.21,427,64.0,79.0,distr,e/u,free,y/h,"1867.55, 234.08","2356.35, 560.55",83.0,11.92814215911443,0.208874,0.308639,0.7572+-0.2270,0.0069+-0.0069
3,5.18,3.3,0.77,0.21,285,64.0,79.0,distr,e/u,free,y/h,"489.61, 175.89","2886.28, 195.34",83.0,11.88476793127106,0.491056,0.591033,0.3482+-0.3139,0.0000+-0.0000
3,5.18,3.3,0.77,0.21,143,64.0,79.0,distr,e/u,free,y/h,"489.61, 175.89","2886.28, 195.34",83.0,11.84330509816271,0.218743,0.318568,0.2916+-0.2916,0.4988+-0.4988
3,5.18,3.3,0.77,0.21,1,64.0,79.0,distr,e/u,free,y/h,"489.61, 175.89","2886.28, 195.34",83.0,11.80245881567297,0.0,0.0981446,0.2828+-0.0126,0.4693+-0.4693
0,5.18,3.3,0.77,0.21,427,64.0,79.0,distr,e/u,free,y/h,"1867.55, 234.08","2356.35, 560.55",83.0,11.92814215911443,0.204953,0.304718,0.8049+-0.1677,0.0164+-0.0010
4,5.18,3.3,0.77,0.21,285,64.0,79.0,distr,e/u,free,y/h,"1047.20, 177.90","2886.28, 195.34",83.0,11.88475178173995,0.901085,0.999531,0.7688+-0.0265,
5,5.18,3.3,0.77,0.21,143,64.0,79.0,distr,e/u,free,y/h,"2462.68, 187.56","2886.28, 195.34",83.0,11.84328215053485,,,,
5,5.18,3.3,0.77,0.21,1,64.0,79.0,distr,e/u,free,y/h,"2462.68, 187.56","2886.28, 195.34",83.0,11.80246053814649,,,,
0,5.18,3.3,0.77,0.21,427,64.0,79.0,distr,e/u,free,y/h,"1867.55, 234.08","2356.35, 560.55",83.0,11.92814215911443,0.250988,0.350782,0.7623+-0.2094,0.0077+-0.0077
4,5.18,3.3,0.77,0.21,285,64.0,79.0,distr,e/u,free,y/h,"500.00, 200.00","2886.28, 195.34",83.0,11.88477935805694,0.901855,1.0,0.8800+-0.1185,
5,5.18,3.3,0.77,0.21,143,64.0,79.0,distr,e/u,free,y/h,"2956.94, 197.36","2886.28, 195.34",83.0,11.84330906841821,,,,
5,5.18,3.3,0.77,0.21,1,64.0,79.0,distr,e/u,free,y/h,"2956.94, 197.36","2886.28, 195.34",83.0,11.80248047753327,,,,
0,5.049811530052747,2.231425852962382,0.6109599697817385,0.1269397775545109,266,33.055418929328546,78.53533448516549,foc,e/s,distr,y/u,"58.26, 254.49","1961.04, 223.67",72.04101636872703,11.549468604093413,0.339927,0.43987,0.2079+-0.1639,0.5247+-0.0648
0,5.05,2.23,0.61,0.13,265,33.0,78.0,foc,e/s,distr,y/u,"58.26, 254.49","1961.04, 223.67",72.0,11.54945028215434,0.34406,0.444057,0.3324+-0.0550,0.5429+-0.0396
1,5.05,2.23,0.61,0.13,177,33.0,78.0,foc,e/s,distr,y/u,"58.26, 254.49","1727.25, 213.81",72.0,11.52248231355365,0.0712232,0.170976,0.4783+-0.0739,0.2517+-0.2517
3,5.05,2.23,0.61,0.13,89,33.0,47.0,foc,e/s,distr,y/u,"453.58, 189.26","2790.44, 200.64",72.0,11.49639291107765,0.0,0.0981446,0.1542+-0.0021,0.5543+-0.1379
4,5.05,2.23,0.61,0.13,1,33.0,47.0,foc,e/s,distr,y/u,"1916.89, 183.23","2790.44, 200.64",72.0,11.47056210810385,0.0,0.0981446,0.4683+-0.1729,
0,5.05,2.23,0.61,0.13,265,33.0,78.0,foc,e/s,distr,y/u,"58.26, 254.49","1961.04, 223.67",72.0,11.54945028215434,0.369038,0.468939,0.2684+-0.0511,0.2808+-0.2808
3,5.05,2.23,0.61,0.13,177,33.0,78.0,foc,e/s,distr,y/u,"156.52, 242.37","2896.08, 198.18",72.0,11.52249568083144,0.901855,1.0,0.1542+-0.0021,0.4251+-0.0028
4,5.05,2.23,0.61,0.13,89,33.0,78.0,foc,e/s,distr,y/u,"1660.08, 193.08","2896.08, 198.18",72.0,11.49639323866958,0.0,0.0981446,0.3074+-0.0121,
4,5.05,2.23,0.61,0.13,1,33.0,78.0,foc,e/s,distr,y/u,"4561.95, 81.82","2896.08, 198.18",72.0,11.47055916902078,0.0,0.0981446,0.2988+-0.0000,
0,5.05,2.23,0.61,0.13,265,33.0,78.0,foc,e/s,distr,y/u,"58.26, 254.49","1961.04, 223.67",72.0,11.54945028215434,0.356958,0.456821,0.1562+-0.0127,0.5853+-0.0237
