PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
2,6.766834003663769,2.7306249675838283,0.648005253716108,0.3970492342665072,171,49.66945134020412,86.20272982329006,distr,e/u,foc,e/h,"365.09, 209.39","2038.58, 212.48",57.470156568723134,12.37086185,,,,
0,6.013287827791207,3.9783296650130384,0.5064414080543058,0.3607568586427803,546,61.26816793685118,36.95149669471628,distr,y/h,free,y/h,"1808.47, 343.5","2436.27, 221.71",89.06644268005986,12.28428851,,,,
1,5.026545254743035,2.9257296687908614,0.7134148760528006,0.3823114518078523,337,40.09667253556159,94.04729820427916,distr,e/s,distr,y/s,"296.82, 143.14","4281.79, 292.47",36.24062425884928,11.52559094,,,,
0,5.048432395244995,4.447715537636761,0.7923273897855614,0.3954102385300918,232,60.62660020777398,35.12404446668107,distr,y/u,free,e/u,"314.92, 157.46","2292.61, 482.03",35.55281669437788,11.31400422,,,,
0,6.245351013196534,3.398180170555517,0.5392956920762018,0.2147761980577014,513,41.21964947738878,96.9383625479049,free,e/h,free,e/s,"2737.48, 327.36","1231.01, 749.07",96.04579172663271,11.97728287,,,,
0,5.170494933494631,3.7730720917903775,0.7948154950492606,0.338985099441738,660,57.42956020851207,46.154214621181765,foc,y/u,distr,e/s,"4329.73, 386.37","1449.88, 242.42",76.51733550462284,11.19472359,,,,
0,5.235711601581224,3.526813667637035,0.7458217558584678,0.3459773664859753,345,48.335292334992566,58.15379084801695,distr,e/h,free,y/s,"268.18, 133.1","3541.71, 676.44",55.96329091854162,11.63694407,,,,
0,5.031031969282339,2.124815005161131,0.7953462095658872,0.2625438045643312,431,99.08889892723894,46.854104745190654,foc,y/u,distr,y/s,"3754.34, 789.02","176.55, 363.53",75.97512373578957,11.15689104,,,,
0,5.229201806200447,2.291084574036032,0.6685074724902743,0.3574385948421585,518,32.033290810031176,49.288415480377736,distr,e/h,free,y/s,"3669.82, 251.12","3541.71, 676.44",54.79722850100536,11.68937762,,,,
4,5.000119311763276,4.158547643111616,0.7890344913308066,0.1196909906381862,1,99.96158107293591,36.09774750691131,distr,e/u,distr,e/h,"739.25, 188.2","2768.95, 203.17",92.996147851866,11.75626084,,,,
4,5.105495289737558,3.8956069844944015,0.7465251272699874,0.3724444105026704,1,81.07179430264453,88.95631396635797,free,e/s,foc,e/h,"1320.76, 191.06","2954.14, 199.97",44.56844929415039,11.18747801,,,,
0,5.111693831759093,3.902061961430828,0.7468248477195156,0.3831595367868657,339,45.3349630750614,43.31168571158236,foc,e/h,foc,y/h,"331.56, 160.89","2208.45, 330.22",70.92705632130831,11.40369547,,,,
0,5.009192741618226,4.002144920831258,0.7562399330554385,0.3839861083554823,250,57.15029109202211,42.22426110747623,foc,e/h,distr,y/h,"1814.71, 166.29","755.82, 276.56",81.97473914580544,11.28062366,,,,
